,sbb_stop_to_stop_lausanne_region.stop_id_a,sbb_stop_to_stop_lausanne_region.stop_id_b,sbb_stop_to_stop_lausanne_region.distance
2417,8592050,8592020,353.54755
2418,8592050,8501181:0:2,359.1886
2419,8592050,8592052,303.24695
2420,8592050,8592050:0:D,0.0
2421,8592050,8592072,401.55115
2422,8592050,8501120,99.84084
2423,8592050,8501181,359.1886
2424,8592050,8592079,382.65692
2425,8592050,Parent8592050,0.0
2426,8592050,8501120:0:1,99.84084
2427,8592050,8501120:0:4,99.84084
2428,8592050,8501120:0:7,99.84084
2429,8592074,8592009,303.04642
2430,8592074,8592051,253.23688
2431,8592074,8591991,284.6592
2432,8592074,8591981,477.1649
2433,8592074,8589523,373.5448
2434,8592074,8579237,271.97464
2435,8592074,8592038,282.6427
2436,8592107,Parent8501162,271.74353
2437,8592107,8501162,271.74353
2438,8592107,8592030,369.93546
2439,8592107,8592094,400.96844
2440,8592107,8501162:0:2,271.74353
2441,8592107,8591993,239.10426
2442,8592107,8501162:0:1,271.74353
2443,8592107,8592176,459.22205
2444,8592107,8592187,247.51105
2445,8592107,8592087,254.86218
2446,8592107,8592181,467.99728
2447,8592107,8592000,497.13458
2448,8592110,8591983,250.92438
2449,8592110,8592064,270.1545
2450,8592110,8592075,166.15913
2451,8592110,8592046,249.14871
2452,8592110,8592005,254.88037
2453,8592110,8592121,372.82846
2454,8592110,8591989,457.30734
2455,8592110,8592097,415.22574
2456,8592110,8592044,434.69418
2457,8592111,8592067,451.16022
2458,8592111,8592085,237.9118
2459,8592111,8592003,279.82712
2460,8592111,8592034,476.3854
2461,8592111,8592132,137.85037
2462,8592111,8592076,452.94443
2463,8592111,8592082,151.01266
2464,8592111,8592116,449.08664
2465,8592111,8592053,296.6155
2466,8592111,8592059,443.58047
2467,8592111,8592033,430.28036
2468,8592111,8592047,351.80032
2469,8592203,8592205,482.56464
2470,8592203,8592220,497.25012
2471,8592203,8592222,400.08795
2472,8592203,8592212,498.21945
2473,8592248,8591961,469.1955
2474,8593845,8579235,294.70615
2475,8593845,8587853,387.53348
2476,Parent8518452,8592049,191.07657
2477,Parent8518452,8518452:0:3,109.82214
2478,Parent8518452,8518452:0:1,110.645325
2479,Parent8518452,8510543,202.96436
2480,Parent8518452,8518452:0:4,110.01182
2481,Parent8518452,8592217,474.887
2482,Parent8518452,8592103,325.0254
2483,Parent8518452,8592105,391.2874
2484,Parent8518452,8592215,478.65942
2485,Parent8518452,8501209,283.72906
2486,Parent8518452,8518452:0:2,109.688545
2487,Parent8518452,8592179,392.98004
2488,8501117:0:4,Parent8595216,64.907234
2489,8501117:0:4,8501117:0:3,6.1409984
2490,8501117:0:4,Parent8501117,106.189545
2491,8501117:0:4,8595216,64.907234
2492,8501117:0:4,8595217,337.34085
2493,8501117:0:4,8581914,76.20572
2494,8501117:0:4,8595214,210.23172
2495,8501117:0:4,8501117:0:1,48.249645
2496,8501117:0:4,8595214:0:1,210.23172
2497,8501117:0:4,Parent8595214,210.23172
2498,8501117:0:4,8581918,352.00665
2499,8579231,8510525,66.32744
2500,8579231,8510526,318.9509
2501,8579231,8591959,485.7481
2502,8579231,8588156,371.18536
2503,8579231,8594988,123.362366
2504,8588436,8593806,223.54836
